Símbolo,Timeframe,Tendencia,RSI,Soportes,Resistencias
ES=F,1d,bearish,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    59.015660
2025-11-13    44.618474
2025-11-14    35.989011
2025-11-17    30.249261
2025-11-18    28.987854
Name: Close, Length: 129, dtype: float64","[6540.25, 6635.5]","[6812.25, 6953.75]"
ES=F,4h,flat,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    40.163376
2025-11-18 01:00:00    36.579116
2025-11-18 05:00:00    39.948454
2025-11-18 09:00:00    38.342610
2025-11-18 13:00:00    45.683209
Name: Close, Length: 136, dtype: float64","[6645.5, 6692.375]","[6789.75, 6900.5]"
ES=F,1h,bullish,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    55.072464
2025-11-18 11:00:00    42.965779
2025-11-18 12:00:00    34.646962
2025-11-18 13:00:00    37.519623
2025-11-18 14:00:00    41.206030
Name: Close, Length: 116, dtype: float64","[6635.5, 6670.5]","[6798.5, 6896.5]"
ES=F,15m,bearish,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    40.909091
2025-11-18 13:45:00    43.302181
2025-11-18 14:00:00    42.105263
2025-11-18 14:15:00    34.951456
2025-11-18 14:30:00    46.428571
Name: Close, Length: 155, dtype: float64","[6649.34375, 6762.875]","[6695.5625, 6788.125]"
NQ=F,1d,bearish,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    55.242078
2025-11-13    44.546770
2025-11-14    37.006051
2025-11-17    30.896788
2025-11-18    27.609254
Name: Close, Length: 129, dtype: float64","[24158.5, 24603.75]","[24068.5, 25394.0]"
NQ=F,4h,flat,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    43.656764
2025-11-18 01:00:00    41.002772
2025-11-18 05:00:00    44.547985
2025-11-18 09:00:00    43.153576
2025-11-18 13:00:00    50.364964
Name: Close, Length: 136, dtype: float64","[24656.5, 24804.75]","[25364.625, 25830.0]"
NQ=F,1h,bullish,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    54.580521
2025-11-18 11:00:00    43.536404
2025-11-18 12:00:00    36.051081
2025-11-18 13:00:00    38.019676
2025-11-18 14:00:00    42.232174
Name: Close, Length: 116, dtype: float64","[24614.875, 25483.625]","[25327.25, 25775.75]"
NQ=F,15m,bearish,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    39.391845
2025-11-18 13:45:00    40.982503
2025-11-18 14:00:00    40.380693
2025-11-18 14:15:00    34.779614
2025-11-18 14:30:00    42.285714
Name: Close, Length: 155, dtype: float64","[24682.09375, 25056.5]","[24902.625, 25307.625]"
YM=F,1d,flat,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    69.466882
2025-11-13    51.859148
2025-11-14    44.056116
2025-11-17    36.161116
2025-11-18    34.104414
Name: Close, Length: 129, dtype: float64","[45387.0, 46131.0]","[45841.0, 47323.0]"
YM=F,4h,bearish,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    20.490716
2025-11-18 01:00:00    15.331230
2025-11-18 05:00:00    17.803769
2025-11-18 09:00:00    15.307263
2025-11-18 13:00:00    18.980892
Name: Close, Length: 136, dtype: float64","[46227.5, 46603.5]","[47331.0, 47583.0]"
YM=F,1h,bearish,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    49.720670
2025-11-18 11:00:00    33.187773
2025-11-18 12:00:00    23.913043
2025-11-18 13:00:00    27.167630
2025-11-18 14:00:00    28.076464
Name: Close, Length: 116, dtype: float64","[46131.0, 46939.0]","[47368.0, 48515.5]"
YM=F,15m,bearish,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    25.110132
2025-11-18 13:45:00    29.937630
2025-11-18 14:00:00    28.402367
2025-11-18 14:15:00    20.958084
2025-11-18 14:30:00    34.529148
Name: Close, Length: 155, dtype: float64","[46131.0, 46445.75]","[46687.5, 47328.5]"
CL=F,1d,flat,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    30.168264
2025-11-13    32.928286
2025-11-14    43.538126
2025-11-17    48.581550
2025-11-18    44.999998
Name: Close, Length: 129, dtype: float64","[58.119998931884766, 59.7400016784668]","[62.59000015258789, 64.19000244140625]"
CL=F,4h,flat,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    62.264190
2025-11-18 01:00:00    54.987263
2025-11-18 05:00:00    50.700272
2025-11-18 09:00:00    58.221051
2025-11-18 13:00:00    51.421198
Name: Close, Length: 136, dtype: float64","[59.2599983215332, 59.63999938964844]","[61.38999938964844, 62.59000015258789]"
CL=F,1h,flat,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    56.934382
2025-11-18 11:00:00    59.310356
2025-11-18 12:00:00    60.992958
2025-11-18 13:00:00    54.054019
2025-11-18 14:00:00    49.689375
Name: Close, Length: 116, dtype: float64","[59.28999900817871, 60.529998779296875]","[60.505000591278076, 61.279998779296875]"
CL=F,15m,flat,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    70.370213
2025-11-18 13:45:00    53.409165
2025-11-18 14:00:00    41.836739
2025-11-18 14:15:00    39.361646
2025-11-18 14:30:00    37.113418
Name: Close, Length: 155, dtype: float64","[59.417500019073486, 59.7599983215332]","[59.73500061035156, 60.29999923706055]"
GC=F,1d,flat,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    57.150608
2025-11-13    56.093215
2025-11-14    57.863841
2025-11-17    59.659414
2025-11-18    58.714168
Name: Close, Length: 129, dtype: float64","[3310.10009765625, 3913.699951171875]","[4228.7001953125, 4358.0]"
GC=F,4h,flat,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    20.176698
2025-11-18 01:00:00    10.928600
2025-11-18 05:00:00    13.428347
2025-11-18 09:00:00    14.837809
2025-11-18 13:00:00    38.473643
Name: Close, Length: 136, dtype: float64","[3997.39990234375, 4021.199951171875]","[4059.89990234375, 4250.0]"
GC=F,1h,bullish,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    62.587699
2025-11-18 11:00:00    48.932065
2025-11-18 12:00:00    43.702947
2025-11-18 13:00:00    61.051813
2025-11-18 14:00:00    62.591463
Name: Close, Length: 116, dtype: float64","[4041.85009765625, 4103.599853515625]","[4081.0, 4151.5]"
GC=F,15m,flat,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    68.515443
2025-11-18 13:45:00    72.385758
2025-11-18 14:00:00    73.879476
2025-11-18 14:15:00    74.039933
2025-11-18 14:30:00    73.511044
Name: Close, Length: 155, dtype: float64","[4057.2000732421875, 4081.0]",[4099.9813232421875]
NG=F,1d,flat,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    82.433168
2025-11-13    85.204623
2025-11-14    80.411264
2025-11-17    75.971376
2025-11-18    72.822831
Name: Close, Length: 129, dtype: float64","[2.8929998874664307, 3.0980000495910645]","[4.1479997634887695, 4.688000202178955]"
NG=F,4h,bearish,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    27.835034
2025-11-18 01:00:00    29.421754
2025-11-18 05:00:00    27.700340
2025-11-18 09:00:00    28.291811
2025-11-18 13:00:00    29.067631
Name: Close, Length: 134, dtype: float64","[4.191999912261963, 4.264500141143799]","[4.395999908447266, 4.688000202178955]"
NG=F,1h,flat,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    44.247803
2025-11-18 11:00:00    56.565632
2025-11-18 12:00:00    35.714334
2025-11-18 13:00:00    37.762135
2025-11-18 14:00:00    34.615396
Name: Close, Length: 116, dtype: float64","[4.267000198364258, 4.315999984741211]","[4.540999889373779, 4.583749890327454]"
NG=F,15m,bearish,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    42.079160
2025-11-18 13:45:00    37.777679
2025-11-18 14:00:00    38.116550
2025-11-18 14:15:00    45.614024
2025-11-18 14:30:00    39.534879
Name: Close, Length: 155, dtype: float64","[4.267000198364258, 4.316499948501587]","[4.370000123977661, 4.494999885559082]"
SI=F,1d,flat,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    71.227251
2025-11-13    70.285923
2025-11-14    66.446183
2025-11-17    64.934286
2025-11-18    62.437670
Name: Close, Length: 129, dtype: float64","[37.20500183105469, 45.845001220703125]","[53.34000015258789, 54.20000076293945]"
SI=F,4h,flat,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    23.322469
2025-11-18 01:00:00    13.312108
2025-11-18 05:00:00    20.284122
2025-11-18 09:00:00    19.667827
2025-11-18 13:00:00    37.531702
Name: Close, Length: 136, dtype: float64","[46.81999969482422, 49.1150016784668]","[49.10999870300293, 51.83000183105469]"
SI=F,1h,bullish,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    64.057486
2025-11-18 11:00:00    52.072027
2025-11-18 12:00:00    44.588075
2025-11-18 13:00:00    56.570497
2025-11-18 14:00:00    58.877057
Name: Close, Length: 116, dtype: float64","[49.86000061035156, 50.13750076293945]","[50.584999084472656, 51.11000061035156]"
SI=F,15m,flat,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    45.787617
2025-11-18 13:45:00    45.787489
2025-11-18 14:00:00    50.501651
2025-11-18 14:15:00    53.164505
2025-11-18 14:30:00    58.409822
Name: Close, Length: 155, dtype: float64","[50.20750045776367, 50.47999954223633]","[50.482500076293945, 51.05000114440918]"
HG=F,1d,bearish,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    50.500346
2025-11-13    49.594591
2025-11-14    43.775632
2025-11-17    40.999338
2025-11-18    32.779742
Name: Close, Length: 129, dtype: float64","[4.40749979019165, 4.534999847412109]","[5.035999774932861, 5.116000175476074]"
HG=F,4h,flat,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    31.268444
2025-11-18 01:00:00    19.788883
2025-11-18 05:00:00    32.294063
2025-11-18 09:00:00    30.334783
2025-11-18 13:00:00    38.356136
Name: Close, Length: 136, dtype: float64","[4.94950008392334, 5.042500019073486]","[5.037499904632568, 5.076000213623047]"
HG=F,1h,bearish,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    56.650114
2025-11-18 11:00:00    43.181794
2025-11-18 12:00:00    39.583364
2025-11-18 13:00:00    48.444454
2025-11-18 14:00:00    52.479360
Name: Close, Length: 116, dtype: float64","[4.947500228881836, 5.024999976158142]","[5.006999969482422, 5.093250036239624]"
HG=F,15m,bullish,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    58.156067
2025-11-18 13:45:00    55.782481
2025-11-18 14:00:00    52.413838
2025-11-18 14:15:00    50.359865
2025-11-18 14:30:00    62.857123
Name: Close, Length: 155, dtype: float64","[4.956250071525574, 5.01918751001358]","[5.002874970436096, 5.055500030517578]"
ZC=F,1d,flat,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    57.923497
2025-11-13    69.312169
2025-11-14    51.415094
2025-11-17    52.534562
2025-11-18    52.534562
Name: Close, Length: 128, dtype: float64","[368.75, 409.25]","[431.25, 435.25]"
ZC=F,4h,bullish,"Datetime
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
2025-10-20 16:00:00          NaN
2025-10-21 00:00:00          NaN
                         ...    
2025-11-17 17:00:00    49.593496
2025-11-18 01:00:00    46.875000
2025-11-18 05:00:00    50.000000
2025-11-18 09:00:00    49.242424
2025-11-18 13:00:00    40.677966
Name: Close, Length: 108, dtype: float64","[418.5, 427.4375]","[436.5, 442.75]"
ZC=F,1h,bullish,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    55.000000
2025-11-18 11:00:00    47.058824
2025-11-18 12:00:00    59.459459
2025-11-18 13:00:00    52.631579
2025-11-18 14:00:00    62.500000
Name: Close, Length: 96, dtype: float64","[428.5, 431.0]","[433.25, 437.5625]"
ZC=F,15m,flat,"Datetime
2025-11-17 01:00:00          NaN
2025-11-17 01:15:00          NaN
2025-11-17 01:30:00          NaN
2025-11-17 01:45:00          NaN
2025-11-17 02:00:00          NaN
                         ...    
2025-11-18 12:45:00    88.235294
2025-11-18 13:00:00    89.473684
2025-11-18 13:15:00    85.000000
2025-11-18 13:30:00    70.833333
2025-11-18 14:30:00    66.666667
Name: Close, Length: 122, dtype: float64","[433.25, 435.75]","[431.5625, 437.875]"
ZS=F,1d,bullish,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    72.781955
2025-11-13    75.822604
2025-11-14    63.501484
2025-11-17    69.554455
2025-11-18    68.479604
Name: Close, Length: 128, dtype: float64","[1005.5, 1032.5]","[1080.5, 1169.5]"
ZS=F,4h,flat,"Datetime
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
2025-10-20 16:00:00          NaN
2025-10-21 00:00:00          NaN
                         ...    
2025-11-17 17:00:00    63.071895
2025-11-18 01:00:00    58.842444
2025-11-18 05:00:00    62.079511
2025-11-18 09:00:00    61.963190
2025-11-18 13:00:00    54.742547
Name: Close, Length: 108, dtype: float64","[1103.5, 1114.25]","[1137.0, 1169.5]"
ZS=F,1h,bullish,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    65.454545
2025-11-18 11:00:00    57.142857
2025-11-18 12:00:00    67.123288
2025-11-18 13:00:00    50.306748
2025-11-18 14:00:00    46.820809
Name: Close, Length: 96, dtype: float64",[1119.375],"[1152.25, 1169.5]"
ZS=F,15m,flat,"Datetime
2025-11-17 01:00:00          NaN
2025-11-17 01:15:00          NaN
2025-11-17 01:30:00          NaN
2025-11-17 01:45:00          NaN
2025-11-17 02:00:00          NaN
                         ...    
2025-11-18 12:45:00    85.964912
2025-11-18 13:00:00    86.206897
2025-11-18 13:15:00    80.645161
2025-11-18 13:30:00    55.681818
2025-11-18 14:30:00    44.444444
Name: Close, Length: 123, dtype: float64","[1114.25, 1153.9375]","[1160.5, 1169.5]"
ZW=F,1d,bullish,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    62.234043
2025-11-13    62.400000
2025-11-14    50.704225
2025-11-17    57.420925
2025-11-18    61.197339
Name: Close, Length: 128, dtype: float64","[520.5, 524.5]","[555.0625, 578.25]"
ZW=F,4h,flat,"Datetime
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
2025-10-20 16:00:00          NaN
2025-10-21 00:00:00          NaN
                         ...    
2025-11-17 17:00:00    58.891013
2025-11-18 01:00:00    58.113208
2025-11-18 05:00:00    54.382826
2025-11-18 09:00:00    54.054054
2025-11-18 13:00:00    58.708415
Name: Close, Length: 108, dtype: float64","[517.25, 526.4375]","[555.0, 563.25]"
