datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2025-05-23,0.64325,0.6521,0.64295,0.65175,96885,6A,1d,True,False,LH,0.6450038461538461,0.6451024999999999,59.00515367562659
2025-05-29,0.6445,0.6481,0.6428,0.6471,77601,6A,1d,False,True,HL,0.6454269230769231,0.64561,52.99300023878642
2025-06-11,0.65435,0.65655,0.6515,0.6528,77602,6A,1d,True,False,HH,0.6503884615384615,0.648315,56.840143553305914
2025-06-13,0.6552,0.6553,0.64745,0.65095,95717,6A,1d,False,True,HL,0.65095,0.6492225,53.05658490040276
2025-06-16,0.65065,0.65715,0.6485,0.6556,78957,6A,1d,True,False,HH,0.6517923076923077,0.6498675,58.639831419433186
2025-06-23,0.64545,0.6482,0.6391,0.6474,103739,6A,1d,False,True,LL,0.6515846153846154,0.6503825000000001,47.68991262208388
2025-07-01,0.65975,0.66095,0.6573,0.6593,67036,6A,1d,True,False,HH,0.6527000000000001,0.6529075,59.78404126368899
2025-07-07,0.6579,0.6579,0.65035,0.65185,77618,6A,1d,False,True,HL,0.6538653846153846,0.6536075,48.980587402890556
2025-07-11,0.65975,0.66105,0.6572,0.65955,68860,6A,1d,True,False,HH,0.6565923076923077,0.6542574999999999,57.78461967025649
2025-07-17,0.65425,0.6544,0.6469,0.6502,83124,6A,1d,False,True,LL,0.6563230769230769,0.6545300000000001,45.03644795004031
2025-07-24,0.66145,0.66395,0.66005,0.66155,71870,6A,1d,True,False,HH,0.6559846153846153,0.6564525,60.0058163158918
2025-08-01,0.64415,0.65065,0.64315,0.64535,107256,6A,1d,False,True,LL,0.6528615384615384,0.6538875,39.30714387715205
2025-08-07,0.65155,0.65535,0.65025,0.6511,61809,6A,1d,True,False,LH,0.6519730769230769,0.652725,48.574197842036405
2025-08-12,0.6526,0.65535,0.6494,0.6542,67191,6A,1d,False,True,HL,0.6505807692307692,0.6523325000000001,53.05852145133754
2025-08-14,0.65575,0.6581,0.64945,0.65065,79446,6A,1d,True,False,HH,0.6502038461538462,0.6524475,47.17952127298367
2025-08-22,0.6431,0.65115,0.6425,0.64995,88968,6A,1d,False,True,LL,0.6504461538461539,0.649575,48.947055449220734
2025-09-01,0.65535,0.65695,0.65445,0.65635,31510,6A,1d,True,False,LH,0.6503615384615384,0.6511075,58.74886223636098
2025-09-02,0.6564,0.65685,0.6492,0.65245,101725,6A,1d,False,True,HL,0.6505,0.6513225,51.34525119235623
2025-09-17,0.66925,0.67165,0.66505,0.66645,91276,6A,1d,True,False,HH,0.6609538461538461,0.6573875,63.19667135465851
2025-09-26,0.6549,0.6559,0.65285,0.6558,52940,6A,1d,False,True,HL,0.6625230769230769,0.660255,45.786738827437986
2025-10-01,0.6619,0.66365,0.65965,0.66245,69391,6A,1d,True,False,HH,0.6615538461538463,0.6612175,55.95472537111723
2025-10-14,0.6521,0.65265,0.6446,0.64965,104454,6A,1d,False,True,LL,0.657473076923077,0.6585249999999999,38.23839933266837
2025-10-29,0.659,0.6622,0.65615,0.6581,111989,6A,1d,True,False,HH,0.6523384615384615,0.6543225,55.081868162858626
2025-11-05,0.6496,0.65165,0.64625,0.65095,77326,6A,1d,False,True,HL,0.6532692307692307,0.6524375,44.4400988239738
2025-11-13,0.65435,0.6584,0.6527,0.65315,91716,6A,1d,True,False,LH,0.6535153846153847,0.65283,49.08296078100627
2025-11-21,0.64495,0.6463,0.64235,0.6458,100265,6A,1d,False,True,LL,0.6505923076923078,0.65224,39.919325735942046
2025-12-10,0.6646,0.6687,0.663,0.6669,91727,6A,1d,True,False,HH,0.6573346153846155,0.654575,69.12596105717589
2025-12-18,0.66075,0.6632,0.6593,0.6615,74424,6A,1d,False,True,HL,0.6628999999999999,0.6586475,55.67794893837492
2025-12-29,0.6712,0.6729,0.6684,0.6698,75986,6A,1d,True,False,HH,0.6660038461538461,0.664075,65.90555640609963
2025-12-31,0.66945,0.6702,0.66605,0.6673,50676,6A,1d,False,True,HL,0.6662999999999999,0.6653675,59.167308688071415
2026-01-07,0.67395,0.67665,0.67175,0.67285,87998,6A,1d,True,False,HH,0.6688153846153847,0.6672925000000001,66.95568858624065
2026-01-09,0.6703,0.6705,0.666,0.66875,95276,6A,1d,False,True,LL,0.6699423076923077,0.6676525,56.34387153127747
2026-01-13,0.671,0.6728,0.66735,0.66815,96175,6A,1d,True,False,LH,0.6702615384615385,0.6680575,53.467895895852585
