datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2025-06-05,1.3563,1.3626,1.3549,1.359,70667,6B,1d,True,False,HH,1.3445705882352943,1.3394133333333333,64.90436123714554
2025-06-10,1.3556,1.3573,1.3464,1.3503,71343,6B,1d,False,True,HL,1.3488058823529412,1.3410766666666667,54.320287572220124
2025-06-13,1.3625,1.3641,1.3523,1.357,75380,6B,1d,True,False,HH,1.3528529411764705,1.3433466666666665,58.11402557615378
2025-06-23,1.3406,1.3538,1.3378,1.3528,83827,6B,1d,False,True,LL,1.3527,1.3466866666666666,53.98401756401842
2025-07-01,1.3739,1.3796,1.371,1.3745,72520,6B,1d,True,False,HH,1.3584529411764708,1.3550166666666668,64.7235320756512
2025-07-16,1.339,1.3492,1.3371,1.3415,122248,6B,1d,False,True,LL,1.3600823529411765,1.3569433333333334,38.30754945030546
2025-07-24,1.3587,1.3595,1.3508,1.3523,56437,6B,1d,True,False,LH,1.353964705882353,1.35578,49.446968261779624
2025-08-01,1.3206,1.3316,1.3147,1.3232,144026,6B,1d,False,True,LL,1.3422764705882353,1.3517566666666667,31.441072004316496
2025-08-14,1.3576,1.3599,1.3525,1.3537,61905,6B,1d,True,False,HH,1.3402823529411765,1.34509,57.585691469954526
2025-08-27,1.3479,1.3505,1.342,1.35,47289,6B,1d,False,True,HL,1.3470823529411764,1.3437566666666667,52.91756033419535
2025-09-01,1.3513,1.3553,1.3503,1.3547,26924,6B,1d,True,False,HH,1.3499764705882353,1.34456,56.77991894875512
2025-09-03,1.3393,1.346,1.3335,1.3443,78043,6B,1d,False,True,LL,1.349535294117647,1.3435766666666666,47.87317609079246
2025-09-09,1.3552,1.3591,1.3519,1.3523,56012,6B,1d,True,False,HH,1.3486058823529412,1.3446700000000003,53.565944349790065
2025-09-11,1.3533,1.3583,1.3493,1.358,52389,6B,1d,False,True,HL,1.3493000000000002,1.34683,57.71637877360785
2025-09-17,1.3645,1.3726,1.3619,1.3638,74653,6B,1d,True,False,HH,1.3528647058823529,1.3511266666666666,60.70622442422734
2025-09-25,1.3445,1.3467,1.3322,1.3332,89288,6B,1d,False,True,LL,1.3522176470588236,1.3508133333333334,37.01041601969069
2025-10-01,1.3445,1.3526,1.3433,1.3484,91982,6B,1d,True,False,LH,1.3513,1.3500233333333334,49.66886048080414
2025-10-14,1.3334,1.335,1.3246,1.3325,90621,6B,1d,False,True,LL,1.3416882352941175,1.34718,40.315214550945456
2025-10-17,1.3436,1.347,1.3388,1.3432,73346,6B,1d,True,False,LH,1.3403176470588236,1.3467366666666665,50.10395386857398
2025-11-04,1.3136,1.3138,1.3008,1.3011,87017,6B,1d,False,True,LL,1.3285117647058822,1.33416,23.6839510522137
2025-11-10,1.3148,1.3188,1.3134,1.3176,58886,6B,1d,True,False,LH,1.3228117647058824,1.3304133333333334,42.40015947899953
2025-11-12,1.315,1.3152,1.308,1.3127,64469,6B,1d,False,True,HL,1.3195823529411765,1.3282733333333332,38.74921490358615
2025-11-13,1.3128,1.3213,1.3095,1.3187,73634,6B,1d,True,False,HH,1.3185058823529412,1.32741,45.103035998652636
2025-11-20,1.3056,1.312,1.3034,1.3083,80343,6B,1d,False,True,LL,1.3125823529411764,1.32249,39.20010537794917
2025-12-04,1.3348,1.3382,1.3318,1.3337,67492,6B,1d,True,False,HH,1.318270588235294,1.3175466666666666,61.93009486792537
2025-12-09,1.3316,1.3352,1.3284,1.3299,47550,6B,1d,False,True,HL,1.3210823529411766,1.3176833333333335,57.05706843140832
2025-12-16,1.3375,1.3452,1.3352,1.3422,70279,6B,1d,True,False,HH,1.329394117647059,1.3221733333333332,64.53563677431015
2025-12-17,1.3419,1.3422,1.3309,1.3376,94067,6B,1d,False,True,HL,1.3309882352941176,1.323286666666667,58.8262611722591
2025-12-24,1.3515,1.3532,1.3491,1.3497,26523,6B,1d,True,False,HH,1.3374764705882354,1.3281966666666667,68.20852489675084
2025-12-31,1.3466,1.3481,1.3399,1.3458,57864,6B,1d,False,True,HL,1.3416117647058823,1.3324766666666668,61.180941607218315
2026-01-06,1.3539,1.3566,1.3489,1.3499,67091,6B,1d,True,False,HH,1.3445941176470588,1.3367,61.96053965453313
2026-01-09,1.3435,1.345,1.3365,1.3406,69589,6B,1d,False,True,LL,1.3454882352941178,1.3392133333333334,49.96259413539455
2026-01-13,1.3461,1.3503,1.3421,1.3434,63666,6B,1d,True,False,LH,1.3460823529411765,1.3406433333333332,52.51608861621773
