datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2026-01-11 23:45:00,1.16905,1.16905,1.1688,1.16895,86,6E,15m,False,True,LL,1.1691868421052634,1.1690225,54.62349932936676
2026-01-12 01:00:00,1.1704,1.1706,1.1703,1.17045,1355,6E,15m,True,False,HH,1.169428947368421,1.1694624999999998,69.08149955513288
2026-01-12 01:15:00,1.1704,1.17045,1.16995,1.16995,1001,6E,15m,False,True,HL,1.1694236842105263,1.169455,60.86863212559556
2026-01-12 03:15:00,1.17195,1.17245,1.17135,1.17135,4340,6E,15m,True,False,HH,1.170165789473684,1.1701199999999998,63.84901319712443
2026-01-12 03:30:00,1.17135,1.17165,1.1711,1.17135,1757,6E,15m,False,True,HL,1.1702842105263158,1.1702249999999998,63.84901319712442
2026-01-12 04:30:00,1.17245,1.17305,1.17245,1.17305,2546,6E,15m,True,False,HH,1.1709921052631578,1.17089,74.58570673326956
2026-01-12 05:30:00,1.17185,1.17195,1.1711,1.1715,1444,6E,15m,False,True,LL,1.1714184210526315,1.1713675000000001,54.939590036784736
2026-01-12 06:30:00,1.17215,1.17245,1.172,1.17215,1310,6E,15m,True,False,LH,1.1717868421052633,1.17171,60.063192421713
2026-01-12 07:00:00,1.1717,1.1717,1.17105,1.17135,1881,6E,15m,False,True,LL,1.1718684210526316,1.1718274999999998,50.720437938047574
2026-01-12 09:00:00,1.1727,1.17335,1.17255,1.17275,5832,6E,15m,True,False,HH,1.1720763157894736,1.1720949999999999,60.065326241773114
2026-01-12 10:15:00,1.17115,1.1714,1.17075,1.17125,2620,6E,15m,False,True,LL,1.1718631578947367,1.171845,46.45131373815618
2026-01-12 11:00:00,1.17165,1.1721,1.1715,1.1716,3105,6E,15m,True,False,LH,1.1717894736842105,1.17181,50.3265006376375
2026-01-12 13:15:00,1.17035,1.1704,1.17,1.17025,1366,6E,15m,False,True,LL,1.1712,1.1712625,38.83009282288613
2026-01-12 13:30:00,1.17025,1.17065,1.17025,1.17045,1265,6E,15m,True,False,LH,1.1710815789473685,1.1711624999999999,41.76752406858904
2026-01-12 14:00:00,1.17035,1.1705,1.17025,1.1704,1462,6E,15m,False,True,HL,1.1708789473684211,1.170925,41.768993406235346
2026-01-12 14:30:00,1.1707,1.1709,1.1706,1.17075,1076,6E,15m,True,False,HH,1.1708447368421053,1.170855,47.0378813783329
2026-01-12 16:00:00,1.17015,1.17025,1.16965,1.16995,6056,6E,15m,False,True,LL,1.1705578947368422,1.17058,36.9753669049211
2026-01-12 18:30:00,1.17,1.1705,1.17,1.1702,327,6E,15m,True,True,LH,1.1703368421052631,1.1703475,43.21128872962484
