datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2025-06-23,74.88,75.28,63.48,65.39,504677,CL,1d,True,False,HH,63.61941176470588,59.04555555555556,57.52986309108696
2025-06-24,64.62,64.71,60.88,61.25,377941,CL,1d,False,True,HL,63.91411764705882,59.10311111111111,46.71719623641977
2025-07-02,62.44,64.46,62.11,64.41,161572,CL,1d,True,False,LH,65.11,59.91088888888889,55.524294094872026
2025-07-07,62.58,65.2,62.28,64.81,161691,CL,1d,False,True,HL,65.37764705882353,60.63177777777777,56.27719440294281
2025-07-09,65.06,65.82,64.58,65.26,112248,CL,1d,True,False,HH,65.0729411764706,61.150222222222226,57.53269743611721
2025-07-10,65.17,65.53,63.33,63.45,139653,CL,1d,False,True,HL,64.67882352941176,61.34022222222222,50.78734649999265
2025-07-14,65.56,66.53,63.68,63.86,135738,CL,1d,True,False,HH,63.97588235294117,61.70111111111112,51.46828348968871
2025-07-16,63.61,63.89,62.3,63.26,113179,CL,1d,False,True,LL,63.419999999999995,61.92022222222222,49.49831747224466
2025-07-18,64.44,65.67,64.06,64.18,140517,CL,1d,True,False,LH,63.742941176470595,62.242888888888885,52.55133559831035
2025-07-23,63.62,63.91,62.84,63.38,124037,CL,1d,False,True,HL,64.00117647058823,62.660888888888884,49.28990996514513
2025-07-30,67.47,68.64,66.58,68.13,189883,CL,1d,True,False,HH,64.52764705882353,63.62800000000001,65.09224437872071
2025-08-13,61.2,61.51,60.07,60.78,133026,CL,1d,False,True,LL,63.87117647058823,64.51355555555556,37.688740392380765
2025-08-15,62.07,62.31,60.91,61.02,63593,CL,1d,True,False,LH,63.652941176470584,64.31777777777778,40.560025007432984
2025-08-18,61.23,62.05,60.49,61.74,136874,CL,1d,False,True,HL,63.51058823529412,64.196,44.07053268523724
2025-08-25,62.92,64.14,62.57,63.84,114170,CL,1d,True,False,HH,62.3735294117647,63.401777777777774,54.360311958645944
2025-08-27,62.35,63.27,61.99,63.19,114263,CL,1d,False,True,HL,62.11470588235294,63.455777777777776,51.39630058537243
2025-09-02,63.71,65.07,63.51,64.63,165436,CL,1d,True,False,HH,62.41941176470589,63.592000000000006,57.03027438997102
2025-09-05,62.37,62.53,60.49,60.91,181490,CL,1d,False,True,LL,62.5529411764706,63.47577777777777,41.668538433541215
2025-09-10,61.78,63.12,61.76,62.71,141876,CL,1d,True,False,LH,62.60176470588235,63.26244444444444,50.02174447355042
2025-09-12,61.31,63.02,60.73,61.73,181246,CL,1d,False,True,HL,62.635882352941174,63.13711111111111,46.28600677767725
2025-09-16,62.35,63.8,61.93,63.56,126820,CL,1d,True,False,HH,62.67352941176471,63.10688888888889,54.26098707042038
2025-09-22,61.71,62.41,61.02,61.69,141209,CL,1d,False,True,HL,62.45705882352941,62.96022222222222,45.775455035306386
2025-09-26,64.61,65.83,64.07,65.13,177797,CL,1d,True,False,HH,62.59823529411765,63.01511111111111,60.69603137420346
2025-10-02,61.19,61.95,59.81,59.89,185451,CL,1d,False,True,LL,62.55823529411765,62.526666666666664,38.72852553534865
2025-10-08,61.46,62.33,61.46,61.96,143587,CL,1d,True,False,LH,62.34058823529411,62.278666666666666,48.883490577051965
2025-10-20,57.18,57.29,55.82,56.88,157771,CL,1d,False,True,LL,60.0,61.647999999999996,33.21298106077822
2025-10-24,61.65,62.45,61.07,61.36,197804,CL,1d,True,False,HH,59.26529411764706,61.44022222222223,55.1642581170185
2025-10-30,60.25,60.65,59.5,60.43,147124,CL,1d,False,True,HL,59.23764705882353,61.19555555555556,50.99703978559736
2025-11-03,61.26,61.36,60.37,60.91,143991,CL,1d,True,False,LH,59.17117647058824,61.08555555555555,53.22217337704337
2025-11-06,59.54,60.37,58.69,59.29,174901,CL,1d,False,True,LL,59.39764705882353,60.84133333333334,44.84798977102357
2025-11-11,59.93,61.14,59.52,60.9,140059,CL,1d,True,False,LH,59.924705882352946,60.766222222222225,54.184393662770674
2025-11-13,58.33,59.07,57.98,58.55,120326,CL,1d,False,True,LL,60.09647058823529,60.60577777777778,42.734935289767314
2025-11-18,59.71,60.85,59.26,60.67,165518,CL,1d,True,False,LH,60.044117647058826,60.44688888888889,53.46544788257373
2025-11-25,58.89,58.96,57.1,57.95,215268,CL,1d,False,True,LL,59.47411764705882,60.02466666666667,42.037872761391604
2025-12-01,58.96,59.97,58.83,59.32,147150,CL,1d,True,False,LH,59.211176470588235,59.554222222222215,49.611833383246555
2025-12-02,59.52,59.67,58.28,58.64,162837,CL,1d,False,True,HL,59.154117647058825,59.48444444444445,46.31928980096944
2025-12-05,59.7,60.5,59.42,60.08,144995,CL,1d,True,False,HH,59.12235294117647,59.425111111111114,53.884792893634305
2025-12-16,56.68,56.7,54.98,55.27,111980,CL,1d,False,True,LL,58.38,59.03133333333334,32.20151163026745
