datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2025-06-30,3378.6,3415.9,3344.8,3402.0,138486,GC,1d,False,True,LL,3462.7999999999997,3438.6244444444446,43.27215713611709
2025-07-03,3463.3,3471.2,3415.7,3437.2,144533,GC,1d,True,False,LH,3463.241176470588,3440.722222222222,48.35419374150768
2025-07-09,3404.9,3419.9,3384.5,3415.3,127596,GC,1d,False,True,HL,3446.241176470588,3437.08,45.22215914350662
2025-07-14,3470.8,3483.6,3442.8,3453.4,141199,GC,1d,True,False,HH,3437.205882352941,3439.0288888888886,51.96333381359036
2025-07-17,3449.0,3452.5,3408.6,3439.6,143357,GC,1d,False,True,HL,3432.8823529411766,3445.5911111111104,49.434574170262856
2025-07-23,3538.6,3546.0,3484.9,3491.9,197901,GC,1d,True,False,HH,3451.6823529411763,3456.177777777778,55.513835678932104
2025-07-30,3419.5,3425.7,3355.6,3389.2,184547,GC,1d,False,True,LL,3445.4176470588236,3453.9244444444444,41.45248224807684
2025-08-08,3524.3,3570.5,3481.4,3527.7,279638,GC,1d,True,False,HH,3457.188235294118,3454.5488888888885,61.887249396823584
2025-08-20,3395.4,3430.7,3389.8,3424.9,127897,GC,1d,False,True,HL,3437.8647058823526,3443.6666666666665,47.38122362721972
2025-09-09,3713.0,3751.6,3700.1,3718.6,249198,GC,1d,True,False,HH,3542.7470588235296,3484.2244444444445,76.28458741973041
2025-09-11,3717.0,3723.9,3687.4,3710.0,200640,GC,1d,False,True,HL,3579.1529411764704,3497.404444444444,74.22111779278313
2025-09-17,3763.7,3780.4,3715.9,3754.2,244481,GC,1d,True,False,HH,3652.2235294117645,3524.0222222222224,76.28521494794109
2025-09-18,3728.9,3743.7,3696.9,3714.7,211539,GC,1d,False,True,HL,3666.652941176471,3530.1355555555556,66.4469723930539
2025-10-08,4043.5,4117.4,4042.0,4106.9,325222,GC,1d,True,False,HH,3871.7705882352943,3669.5777777777776,84.14179146480501
2025-10-09,4098.2,4114.3,3994.3,4009.0,426454,GC,1d,False,True,HL,3886.329411764706,3681.108888888889,68.28463063987797
2025-10-20,4305.4,4434.4,4266.1,4395.8,320953,GC,1d,True,False,HH,4072.3647058823526,3803.9666666666667,76.89718800602728
2025-10-28,4036.3,4070.6,3937.7,4019.5,320540,GC,1d,False,True,LL,4145.823529411765,3894.253333333334,48.86390307579727
2025-10-31,4074.6,4096.3,4018.7,4032.9,223232,GC,1d,True,False,LH,4143.582352941176,3929.233333333333,49.55706435669669
2025-11-05,3975.9,4037.1,3972.1,4029.3,157734,GC,1d,False,True,HL,4135.429411764706,3955.7644444444445,49.46634898741383
2025-11-13,4238.8,4286.4,4184.9,4230.9,257009,GC,1d,True,False,HH,4094.0058823529416,4015.1422222222227,61.89049352804507
2025-11-18,4082.0,4120.1,4033.8,4102.9,205094,GC,1d,False,True,HL,4086.747058823529,4039.473333333333,51.43447856208266
2025-11-19,4104.2,4170.7,4092.0,4119.2,200019,GC,1d,True,False,LH,4090.458823529412,4047.584444444444,52.68588630799797
2025-11-21,4111.3,4137.4,4054.5,4115.9,205356,GC,1d,False,True,HL,4099.617647058823,4064.3711111111106,52.35692144276205
2025-12-01,4258.5,4299.6,4241.1,4274.8,217983,GC,1d,True,False,HH,4160.7588235294115,4114.033333333334,64.25346548026596
2025-12-09,4219.6,4251.7,4197.8,4236.2,167285,GC,1d,False,True,HL,4186.299999999999,4150.62,58.254254793163554
2025-12-26,4523.5,4584.0,4518.0,4552.7,173288,GC,1d,True,False,HH,4344.835294117647,4206.488888888889,79.28629951975239
2025-12-31,4353.0,4384.9,4284.3,4341.1,154353,GC,1d,False,True,HL,4365.570588235294,4224.737777777777,51.68138547157668
