datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2025-05-19,5.088,5.089,4.917,4.932,103025,NG,1d,False,True,HL,5.248368421052632,5.2345500000000005,36.363950988124834
2025-05-21,5.234,5.332,5.155,5.187,75404,NG,1d,True,False,LH,5.2762631578947365,5.258249999999999,47.98510430788492
2025-05-23,5.102,5.169,5.036,5.153,32052,NG,1d,False,True,HL,5.283105263157895,5.277050000000001,47.33688884596466
2025-05-28,5.184,5.259,4.961,4.984,150359,NG,1d,True,False,LH,5.262368421052631,5.26415,42.05111975833856
2025-05-29,4.962,5.003,4.864,4.949,136382,NG,1d,False,True,LL,5.236052631578947,5.2467,40.96791029577503
2025-06-06,5.08,5.244,5.076,5.211,94587,NG,1d,True,False,LH,5.1318947368421055,5.14855,52.44858010465201
2025-06-11,4.953,5.053,4.88,4.934,117092,NG,1d,False,True,HL,5.079157894736842,5.08425,42.17223035740085
2025-06-20,5.505,5.575,5.245,5.274,88834,NG,1d,True,False,HH,5.118,5.11705,53.730702744899304
2025-06-26,4.903,4.916,4.724,4.847,151597,NG,1d,False,True,LL,5.110631578947368,5.0988,40.172060283893885
2025-06-27,4.851,5.072,4.834,5.06,106313,NG,1d,True,False,LH,5.107421052631579,5.108099999999999,48.25366710370234
2025-07-01,4.774,4.789,4.614,4.736,118569,NG,1d,False,True,LL,5.066421052631579,5.07025,39.4411437462558
2025-07-03,4.821,4.895,4.713,4.73,98405,NG,1d,True,False,LH,5.025578947368421,5.0348500000000005,40.066789596228006
2025-07-09,4.669,4.68,4.47,4.535,129081,NG,1d,False,True,LL,4.960421052631579,4.95835,34.9931959453359
2025-07-17,4.878,4.95,4.832,4.863,67592,NG,1d,True,False,HH,4.802421052631579,4.826,49.37443400030337
2025-08-04,4.337,4.35,4.167,4.204,112314,NG,1d,False,True,LL,4.555157894736841,4.5604499999999994,32.08804499290875
2025-08-07,4.371,4.42,4.307,4.339,87915,NG,1d,True,False,LH,4.510000000000001,4.51625,39.79656645813128
2025-08-13,4.056,4.123,4.036,4.1,79699,NG,1d,False,True,LL,4.368,4.39275,32.39978998690684
2025-08-15,4.122,4.238,4.108,4.188,78184,NG,1d,True,False,LH,4.303210526315789,4.3203499999999995,38.25278802382571
2025-08-25,3.917,3.989,3.901,3.97,79339,NG,1d,False,True,LL,4.181842105263158,4.19345,32.720180422083374
2025-09-08,4.25,4.361,4.219,4.253,125120,NG,1d,True,False,HH,4.114578947368421,4.11285,52.51580180692799
2025-09-16,4.208,4.301,4.032,4.266,104757,NG,1d,False,True,LL,4.141947368421053,4.13605,53.89299680838051
2025-09-17,4.28,4.331,4.231,4.263,78701,NG,1d,True,False,LH,4.150631578947368,4.148,53.673469237366824
2025-09-23,3.969,4.033,3.935,4.016,36886,NG,1d,False,True,LL,4.160947368421053,4.15535,40.4101875831571
2025-10-02,4.339,4.467,4.284,4.324,178032,NG,1d,True,False,HH,4.157631578947369,4.1603,59.6918167966801
2025-10-06,4.182,4.367,4.178,4.239,114338,NG,1d,False,True,HL,4.153,4.15935,53.610379395233224
2025-10-08,4.406,4.432,4.198,4.215,142245,NG,1d,True,False,LH,4.169105263157895,4.1655,50.93127198195886
2025-10-17,3.808,3.906,3.775,3.89,82858,NG,1d,False,True,LL,4.1004736842105265,4.0939,39.13498248506197
2025-10-22,4.369,4.454,4.268,4.332,126725,NG,1d,True,False,HH,4.145684210526316,4.14225,58.44200362147992
2025-10-29,4.012,4.048,3.936,3.999,110652,NG,1d,False,True,HL,4.121421052631579,4.13155,43.68312929518741
2025-11-13,4.719,4.872,4.638,4.83,130245,NG,1d,True,False,HH,4.3846842105263155,4.3599499999999995,68.65441576460687
2025-11-18,4.526,4.585,4.419,4.555,130949,NG,1d,False,True,HL,4.431157894736842,4.4262,55.526869286703125
2025-11-21,4.666,4.8,4.648,4.743,115182,NG,1d,True,False,LH,4.512315789473684,4.49575,60.412197062629424
2025-11-25,4.642,4.678,4.39,4.481,169268,NG,1d,False,True,LL,4.570368421052632,4.5418,49.66306453571428
2025-12-05,5.077,5.496,5.027,5.289,249872,NG,1d,True,False,HH,4.766578947368421,4.75435,70.52671962568587
2025-12-16,4.037,4.045,3.842,3.886,105309,NG,1d,False,True,LL,4.632,4.6371,33.24834800223684
2025-12-18,4.117,4.218,3.877,3.908,110011,NG,1d,True,False,LH,4.5546842105263154,4.5641,35.587103581387936
2025-12-22,4.081,4.14,3.797,3.965,93919,NG,1d,False,True,LL,4.491315789473684,4.4908,37.71180406089606
