datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2025-06-11,22654.25,22814.5,22499.25,22596.0,509305,NQ,1d,True,False,HH,22221.63157894737,21614.17142857143,71.24399873343981
2025-06-13,22617.5,22624.25,22179.5,22352.75,483935,NQ,1d,False,True,LL,22250.25,21749.014285714286,60.898515220843244
2025-06-16,22266.5,22716.0,22220.0,22662.25,262267,NQ,1d,True,False,LH,22276.907894736843,21818.321428571428,66.81663527881705
2025-06-23,22142.25,22587.0,22060.75,22567.5,542414,NQ,1d,False,True,LL,22403.013157894737,22076.264285714286,60.70828025790235
2025-06-30,23245.5,23428.75,23245.5,23387.25,424779,NQ,1d,True,False,HH,22650.894736842107,22391.814285714285,73.16975171440907
2025-07-02,23188.5,23352.75,23076.0,23337.0,402342,NQ,1d,False,True,HL,22743.42105263158,22461.42142857143,68.82654478845492
2025-07-03,23339.0,23596.5,23321.0,23556.5,264660,NQ,1d,True,False,HH,22799.13157894737,22502.785714285714,71.84072628691028
2025-07-07,23464.0,23522.5,23273.75,23378.75,458602,NQ,1d,False,True,HL,22882.21052631579,22569.342857142856,66.20499568912471
2025-07-09,23400.5,23606.0,23337.5,23546.75,444796,NQ,1d,True,False,HH,22971.71052631579,22652.67142857143,69.03130352088802
2025-07-14,23354.75,23560.5,23297.0,23529.5,408577,NQ,1d,False,True,HL,23130.907894736843,22793.457142857143,67.06693520760767
2025-07-21,23726.5,23918.75,23697.75,23836.0,390105,NQ,1d,True,False,HH,23445.184210526317,23013.97142857143,72.39533907443106
2025-07-22,23833.5,23861.0,23602.0,23720.25,530913,NQ,1d,False,True,HL,23485.46052631579,23051.27857142857,66.97568367380207
2025-07-31,24199.0,24339.0,23784.5,23859.0,710413,NQ,1d,True,False,HH,23701.105263157893,23327.635714285716,64.34728431956671
2025-08-01,23802.5,23841.5,23269.0,23377.75,792162,NQ,1d,False,True,LL,23701.052631578947,23356.92142857143,46.15559526596988
2025-08-13,24439.0,24562.5,24380.0,24440.5,448246,NQ,1d,True,False,HH,23924.302631578947,23700.314285714285,67.33123537088773
2025-08-20,23955.0,23979.5,23529.0,23818.0,704395,NQ,1d,False,True,HL,24021.407894736843,23828.2,48.19199588585885
2025-08-28,24036.25,24297.75,23981.5,24263.0,479461,NQ,1d,True,False,HH,24082.736842105263,23927.064285714285,58.81540576934757
2025-09-02,23996.25,24003.5,23519.25,23769.0,649689,NQ,1d,False,True,LL,24103.144736842107,23961.0,45.59925634988963
2025-09-22,25106.5,25283.75,25005.25,25259.5,467909,NQ,1d,True,False,HH,24430.986842105263,24273.842857142856,74.60034115222358
2025-09-25,25002.5,25050.0,24679.0,24885.75,687130,NQ,1d,False,True,HL,24569.07894736842,24371.907142857144,60.480897848971175
2025-10-09,25608.0,25650.5,25417.25,25545.75,493738,NQ,1d,True,False,HH,25137.21052631579,24694.014285714286,67.44026617948236
2025-10-10,25544.25,25644.5,24415.0,24653.5,914797,NQ,1d,False,True,LL,25129.11842105263,24710.864285714284,44.23829294350095
2025-10-21,25583.25,25624.5,25459.75,25551.25,432353,NQ,1d,True,False,LH,25229.302631578947,24957.664285714287,59.77930475204561
2025-10-22,25540.25,25594.75,25061.25,25295.75,683812,NQ,1d,False,True,HL,25250.88157894737,24996.321428571428,54.11012089256686
2025-10-30,26411.0,26655.5,26109.5,26139.25,654454,NQ,1d,True,True,HH,25537.723684210527,25301.735714285714,61.850389076777226
2025-11-07,25571.25,25611.25,24965.75,25422.75,752911,NQ,1d,False,True,LL,25731.184210526317,25484.128571428573,46.99126297567274
2025-11-12,25924.5,26086.5,25745.25,25880.25,599965,NQ,1d,True,False,LH,25860.697368421053,25552.97142857143,53.66329904941225
2025-11-21,24366.5,24852.75,24161.0,24562.0,903298,NQ,1d,False,True,LL,25622.25,25513.178571428572,37.56405256023908
2025-12-10,25936.5,26127.25,25785.25,26054.5,538113,NQ,1d,True,False,HH,25468.0,25684.135714285716,59.607919206291065
2025-12-17,25332.0,25508.5,24887.75,24898.75,628086,NQ,1d,False,True,LL,25592.065789473683,25587.742857142857,37.05849172247742
2025-12-26,25868.0,25935.25,25834.25,25863.25,235614,NQ,1d,True,False,LH,25702.842105263157,25529.864285714284,55.569347500568725
2026-01-02,25478.5,25803.75,25265.25,25385.25,538535,NQ,1d,False,True,HL,25647.763157894737,25503.742857142857,45.075145592703066
2026-01-13,25953.5,26045.5,25803.25,25906.0,554832,NQ,1d,True,False,HH,25649.052631578947,25678.292857142857,55.64751308038309
