datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2026-01-09 14:30:00,115.75,115.8125,115.71875,115.8125,5342,ZB,15m,False,True,HL,115.75833333333334,115.483125,57.81311965190787
2026-01-09 14:45:00,115.78125,115.84375,115.75,115.78125,6228,ZB,15m,True,False,LH,115.76458333333333,115.490625,56.16825288126027
2026-01-09 15:45:00,115.8125,115.8125,115.71875,115.75,7393,ZB,15m,False,True,LL,115.78125,115.5225,53.703128360289156
2026-01-09 16:45:00,115.875,115.90625,115.8125,115.84375,2196,ZB,15m,True,False,HH,115.80208333333333,115.563125,57.67827464449709
2026-01-11 18:15:00,115.75,115.8125,115.6875,115.71875,1771,ZB,15m,False,True,LL,115.80833333333334,115.58125,48.89018246978526
2026-01-11 19:15:00,115.71875,115.75,115.65625,115.71875,1096,ZB,15m,False,True,LL,115.7875,115.61375,48.69385802866147
2026-01-11 19:45:00,115.84375,115.96875,115.84375,115.96875,4292,ZB,15m,True,False,HH,115.80208333333333,115.635625,63.247612193908935
2026-01-11 20:30:00,115.6875,115.75,115.625,115.6875,13043,ZB,15m,False,True,LL,115.79166666666667,115.65875,46.56526295454619
2026-01-11 21:00:00,115.71875,115.8125,115.71875,115.78125,3076,ZB,15m,True,False,LH,115.78125,115.676875,51.69316104750919
2026-01-11 21:45:00,115.6875,115.6875,115.5,115.53125,5402,ZB,15m,False,True,LL,115.73958333333333,115.69625,39.27624591682875
2026-01-11 22:45:00,115.5625,115.59375,115.53125,115.5625,749,ZB,15m,True,True,LH,115.69166666666666,115.704375,42.01191751708423
2026-01-11 23:00:00,115.5625,115.5625,115.53125,115.5625,730,ZB,15m,False,True,HL,115.68125,115.71125,42.01191751708423
2026-01-11 23:30:00,115.5625,115.59375,115.53125,115.59375,712,ZB,15m,True,False,LH,115.63958333333333,115.72625,44.60906872810016
2026-01-12 00:00:00,115.5,115.53125,115.46875,115.46875,154,ZB,15m,False,True,LL,115.60625,115.72625,37.163324175522966
