datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2025-05-22,109.65625,110.40625,108.9375,110.09375,551011,ZB,1d,False,True,LL,111.20982142857143,111.571875,31.46898231814444
2025-06-05,112.84375,113.5625,112.5,112.6875,344169,ZB,1d,True,False,HH,111.90625,111.646875,54.0276039793567
2025-06-09,111.28125,111.78125,111.03125,111.59375,223637,ZB,1d,False,True,HL,111.85714285714286,111.8125,46.99012833184811
2025-06-13,113.46875,114.1875,112.125,112.5,382018,ZB,1d,True,False,HH,112.29464285714286,112.1375,51.92435792108035
2025-06-16,112.875,112.875,111.8125,111.90625,339008,ZB,1d,False,True,HL,112.18303571428571,112.209375,48.37270994140912
2025-06-18,112.9375,113.53125,112.5625,112.875,319844,ZB,1d,True,False,LH,112.58482142857143,112.375,53.870697894195075
2025-06-20,112.875,113.25,112.15625,113.03125,273383,ZB,1d,False,True,HL,112.80803571428571,112.559375,54.839799374921945
2025-07-01,114.6875,115.34375,114.1875,114.625,380665,ZB,1d,True,False,HH,114.08928571428571,113.740625,62.06695225234407
2025-07-08,112.75,112.78125,111.90625,112.28125,287129,ZB,1d,False,True,LL,113.58035714285714,113.678125,43.68886359612021
2025-07-10,113.40625,113.65625,112.96875,113.5,290214,ZB,1d,True,False,LH,113.21875,113.559375,52.86824079006623
2025-07-16,111.3125,111.96875,110.59375,111.40625,590483,ZB,1d,False,True,LL,112.26785714285714,112.5375,40.13786147047525
2025-07-22,112.5625,113.3125,112.25,113.21875,298736,ZB,1d,True,False,LH,111.94196428571429,112.25625,54.34457132828662
2025-07-24,112.71875,112.78125,111.90625,112.53125,280374,ZB,1d,False,True,HL,112.21428571428571,112.0875,49.25537677173363
2025-08-05,115.15625,115.46875,114.8125,115.375,332145,ZB,1d,True,False,HH,114.03125,113.61875,64.84864456391439
2025-08-12,114.28125,114.90625,113.5625,113.90625,352602,ZB,1d,False,True,LL,114.66964285714286,114.41875,52.30335230025745
2025-08-14,114.75,115.21875,113.875,113.90625,331095,ZB,1d,True,False,LH,114.40178571428571,114.628125,51.40450084961468
2025-08-18,113.34375,113.8125,112.84375,113.03125,257984,ZB,1d,False,True,LL,113.92857142857143,114.246875,45.58443519815264
2025-08-22,113.4375,114.375,113.15625,114.09375,342656,ZB,1d,True,False,LH,113.54910714285714,113.790625,53.451041042772545
2025-08-27,113.6875,113.90625,113.125,113.875,258752,ZB,1d,False,True,HL,113.76339285714286,113.653125,51.66773105709296
2025-08-28,113.75,114.5,113.75,114.4375,338864,ZB,1d,True,False,HH,113.88392857142857,113.70625,56.172369327746026
2025-09-03,113.21875,114.3125,112.65625,114.1875,432937,ZB,1d,False,True,LL,113.82589285714286,113.815625,53.67309372989535
2025-09-11,117.03125,117.8125,116.78125,117.59375,470867,ZB,1d,True,False,HH,116.20982142857143,115.390625,69.93421100519214
2025-09-15,116.9375,117.59375,116.625,117.46875,263666,ZB,1d,False,True,HL,117.04017857142857,116.103125,66.82479542625818
2025-09-17,117.46875,118.28125,116.84375,117.09375,448494,ZB,1d,True,False,HH,117.26339285714286,116.846875,62.6598902151844
2025-09-22,116.0625,116.21875,115.65625,115.875,327930,ZB,1d,False,True,LL,116.78571428571429,116.915625,52.52188723660626
2025-09-24,116.46875,116.5625,115.78125,115.9375,338173,ZB,1d,True,False,LH,116.45089285714286,116.725,52.58131068898519
2025-09-25,115.96875,116.15625,115.375,115.84375,387413,ZB,1d,False,True,LL,116.20089285714286,116.55,51.770488508961805
2025-10-03,116.90625,117.125,116.46875,116.5625,294142,ZB,1d,True,False,HH,116.32142857142857,116.228125,55.89322708637481
2025-10-07,116.03125,116.625,115.65625,116.40625,320711,ZB,1d,False,True,HL,116.43303571428571,116.246875,53.90475494238726
2025-10-22,118.9375,119.21875,118.65625,118.90625,402864,ZB,1d,True,False,HH,118.3125,117.96875,66.68787129602424
2025-10-27,117.78125,118.625,117.46875,118.40625,340964,ZB,1d,False,True,HL,118.47321428571429,118.328125,60.39791957902659
2025-10-28,118.65625,118.875,118.40625,118.6875,304237,ZB,1d,True,False,LH,118.55803571428571,118.40625,62.47652220942314
2025-11-10,116.40625,116.8125,115.9375,116.625,343222,ZB,1d,False,True,LL,116.70982142857143,117.071875,45.069311868124146
2025-11-12,117.09375,117.46875,116.78125,117.25,372066,ZB,1d,True,False,LH,116.80357142857143,116.85625,50.93239573717257
2025-11-20,116.125,116.78125,115.8125,116.53125,509202,ZB,1d,False,True,LL,116.50446428571429,116.596875,46.25724133727382
2025-11-25,117.40625,117.96875,117.1875,117.6875,316175,ZB,1d,True,False,HH,116.75892857142857,116.740625,57.743042953327894
2025-12-08,115.59375,115.6875,114.84375,115.09375,342423,ZB,1d,False,True,LL,116.20089285714286,116.671875,34.716584957334916
2025-12-11,115.5625,116.28125,115.375,115.625,403844,ZB,1d,True,False,LH,115.65625,115.959375,41.310499456909156
2025-12-12,115.40625,115.53125,114.53125,114.65625,419070,ZB,1d,False,True,LL,115.36607142857143,115.68125,34.17800366626835
2025-12-18,115.21875,115.9375,115.21875,115.71875,339311,ZB,1d,True,False,LH,115.26785714285714,115.275,46.6333059931197
2025-12-23,115.21875,115.625,114.75,115.28125,303047,ZB,1d,False,True,HL,115.27678571428571,115.259375,43.393470084070955
2025-12-31,115.90625,116.25,115.125,115.59375,372705,ZB,1d,True,False,HH,115.57142857142857,115.528125,47.13307451138398
2026-01-06,115.34375,115.40625,114.8125,115.15625,439854,ZB,1d,False,True,HL,115.47767857142857,115.453125,43.43643023770761
2026-01-07,115.15625,116.03125,115.125,115.90625,538948,ZB,1d,True,False,LH,115.53125,115.53125,52.02331734694192
2026-01-09,115.6875,115.90625,115.03125,115.78125,620488,ZB,1d,False,True,HL,115.45535714285714,115.540625,50.82690448418616
