datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2025-07-01,445.25,445.75,437.25,443.0,85078,ZC,1d,False,True,LL,452.70454545454544,478.255,31.762745342848802
2025-07-03,454.25,463.25,454.25,457.25,92563,ZC,1d,True,False,LH,451.3863636363636,475.825,45.7494674400221
2025-07-14,431.5,438.0,428.25,437.0,74101,ZC,1d,False,True,LL,442.54545454545456,467.0,36.85853257408152
2025-07-18,440.0,448.0,439.5,445.5,80698,ZC,1d,True,False,LH,440.02272727272725,462.86,46.11026948699787
2025-07-29,429.0,431.25,424.75,426.25,68521,ZC,1d,False,True,LL,437.25,456.9,33.917375649570374
2025-08-01,431.0,433.25,425.75,426.5,48782,ZC,1d,True,False,LH,434.22727272727275,453.9,36.220894793434894
2025-08-06,418.0,418.25,412.0,416.75,67467,ZC,1d,False,True,LL,428.47727272727275,449.6,30.114828759192264
2025-08-08,421.0,426.25,419.0,419.75,52617,ZC,1d,True,False,LH,425.47727272727275,447.005,35.00474242949676
2025-08-12,421.5,421.75,405.75,408.5,113716,ZC,1d,False,True,LL,422.1363636363636,444.585,29.45200620638623
2025-08-18,420.0,421.75,416.25,420.0,52664,ZC,1d,True,False,LH,417.70454545454544,440.34,42.70484369208888
2025-08-20,417.0,419.5,414.75,417.5,78984,ZC,1d,False,True,HL,416.95454545454544,438.295,41.076884288571726
2025-08-25,426.5,430.0,424.75,425.75,110875,ZC,1d,True,False,HH,418.59090909090907,435.715,49.6596756937519
2025-08-28,419.5,424.5,417.0,423.5,123426,ZC,1d,False,True,HL,420.8181818181818,433.005,48.090980530935305
2025-09-05,433.5,438.25,430.75,431.5,118915,ZC,1d,True,False,HH,428.04545454545456,430.85,53.94191343168895
2025-09-11,430.5,434.75,430.0,433.25,96876,ZC,1d,False,True,HL,431.0681818181818,429.92,54.646698274334675
2025-09-16,436.5,444.75,436.5,443.0,135088,ZC,1d,True,False,HH,435.29545454545456,429.33,60.325327828270126
2025-09-22,437.5,438.25,431.75,435.25,142095,ZC,1d,False,True,HL,436.8863636363636,429.525,52.33961034051246
2025-09-25,437.25,441.75,437.0,439.25,112702,ZC,1d,True,False,LH,438.5,429.51,55.596562289397326
2025-10-01,429.25,433.0,424.0,430.0,209047,ZC,1d,False,True,LL,436.04545454545456,428.87,45.75294682981502
2025-10-07,435.0,438.0,432.5,433.25,123134,ZC,1d,True,False,LH,434.77272727272725,428.765,49.40646706824651
2025-10-14,424.25,427.0,422.75,426.5,129663,ZC,1d,False,True,LL,430.8863636363636,428.925,43.25826292452967
2025-10-17,434.75,438.25,434.5,436.0,118013,ZC,1d,True,False,HH,431.54545454545456,429.82,54.21664831753385
2025-10-21,436.75,438.0,432.0,433.25,118754,ZC,1d,False,True,HL,431.75,430.385,50.52021484918343
2025-10-30,447.5,450.5,441.25,443.75,208362,ZC,1d,True,False,HH,439.54545454545456,434.13,58.01354643326579
2025-10-31,442.75,445.75,440.0,445.0,124290,ZC,1d,False,True,HL,440.4318181818182,434.525,59.1753362211132
2025-11-05,444.0,449.5,442.25,448.75,126153,ZC,1d,True,False,LH,443.65909090909093,435.88,61.37823429420578
2025-11-10,440.25,444.75,439.75,443.25,94583,ZC,1d,False,True,LL,444.70454545454544,436.87,54.045140428047894
2025-11-13,448.25,456.25,447.5,455.0,191933,ZC,1d,True,False,HH,445.97727272727275,437.83,64.87495734373357
2025-11-24,437.75,439.25,434.5,436.75,102008,ZC,1d,False,True,LL,444.3181818181818,438.85,44.64472519725251
2025-12-02,445.0,452.25,442.25,450.0,161471,ZC,1d,True,False,LH,443.40909090909093,439.51,57.452002869429215
2025-12-04,443.0,448.0,441.75,447.25,106616,ZC,1d,False,True,HL,442.77272727272725,439.775,53.97363757748171
2025-12-09,443.75,449.0,443.5,448.0,130031,ZC,1d,True,False,LH,444.5681818181818,440.31,54.55165863402184
2025-12-16,439.75,440.0,435.5,436.5,106232,ZC,1d,False,True,LL,444.09090909090907,441.225,42.836660819834094
2025-12-26,451.0,453.0,448.75,450.0,74124,ZC,1d,True,False,HH,444.34090909090907,443.55,57.02803344254527
2026-01-05,437.25,445.5,436.25,444.5,132347,ZC,1d,False,True,HL,444.4318181818182,444.095,51.24999667614282
2026-01-12,445.0,448.75,420.0,421.5,431194,ZC,1d,True,False,LH,441.72727272727275,443.905,31.0679117872926
2026-01-13,421.75,422.75,417.25,419.75,244841,ZC,1d,False,True,LL,438.97727272727275,443.425,30.11309481207448
