datetime,open,high,low,close,volume,symbol,timeframe,pivot_high,pivot_low,pivot_label,SMA_FAST,SMA_SLOW,RSI_14
2025-05-15,109.703125,110.46875,109.625,110.296875,1693040,ZN,1d,False,True,L,110.228125,110.725,41.12427593433646
2025-05-16,110.40625,110.71875,110.015625,110.375,1350320,ZN,1d,True,False,LH,110.13125,110.6421875,42.5328019949856
2025-05-22,109.5,110.046875,109.453125,109.875,1934439,ZN,1d,False,True,LL,110.046875,110.1375,39.15558071107958
2025-05-30,110.65625,110.921875,110.546875,110.734375,2267684,ZN,1d,True,False,HH,110.465625,110.23125,52.87389159581597
2025-06-03,110.5625,110.8125,110.328125,110.4375,1179345,ZN,1d,False,True,HL,110.50625,110.2765625,48.53479330522581
2025-06-05,111.140625,111.4375,110.71875,110.78125,1694582,ZN,1d,True,False,HH,110.7,110.521875,52.76309665627294
2025-06-06,110.765625,110.90625,109.859375,109.890625,1811319,ZN,1d,False,True,LL,110.53125,110.4984375,42.19611481289286
2025-06-13,110.953125,111.390625,110.421875,110.59375,1898688,ZN,1d,True,False,LH,110.528125,110.5296875,50.631186290682116
2025-06-16,110.734375,110.796875,110.3125,110.46875,1165440,ZN,1d,False,True,HL,110.59375,110.53125,49.1645184871317
2025-06-18,110.859375,111.234375,110.6875,110.78125,1465555,ZN,1d,True,False,LH,110.74375,110.5390625,52.738869148427845
2025-06-20,110.859375,111.078125,110.484375,110.96875,1345186,ZN,1d,False,True,HL,110.784375,110.65625,55.037681346883424
2025-07-01,112.078125,112.375,111.6875,111.84375,1597370,ZN,1d,True,False,HH,111.884375,111.5125,60.88492544769314
2025-07-08,110.984375,111.03125,110.65625,110.765625,1115201,ZN,1d,False,True,HL,111.165625,111.525,44.95429844343726
2025-07-10,111.3125,111.40625,111.0,111.203125,1126886,ZN,1d,True,False,LH,111.09375,111.403125,51.09575613885244
2025-07-15,110.703125,110.921875,110.25,110.265625,1862165,ZN,1d,False,True,LL,110.834375,111.0,39.6823697402496
2025-07-22,111.09375,111.4375,110.984375,111.390625,1204378,ZN,1d,True,False,HH,110.8875,110.8609375,55.63101820475797
2025-07-24,111.015625,111.046875,110.59375,110.8125,1292191,ZN,1d,False,True,HL,111.028125,110.796875,47.754421197901756
2025-08-05,112.375,112.46875,112.140625,112.28125,1309881,ZN,1d,True,False,HH,111.771875,111.3734375,62.86534670964402
2025-08-12,111.765625,112.171875,111.59375,111.796875,1520470,ZN,1d,False,True,HL,111.95625,111.8640625,55.13638322253379
2025-08-14,112.203125,112.421875,111.75,111.78125,1589098,ZN,1d,True,False,LH,111.884375,112.0546875,53.61018456480403
2025-08-18,111.625,111.828125,111.40625,111.5,983060,ZN,1d,False,True,LL,111.7625,111.9078125,49.51252160441021
2025-08-28,112.421875,112.59375,112.265625,112.546875,1461257,ZN,1d,True,False,HH,112.240625,111.940625,61.856836965530846
2025-09-02,112.328125,112.359375,111.921875,112.09375,1741870,ZN,1d,False,True,HL,112.359375,112.14375,53.58334617458546
2025-09-11,113.40625,113.859375,113.234375,113.609375,2051740,ZN,1d,True,False,HH,113.45625,112.95,68.52143338801258
2025-09-25,112.546875,112.640625,112.140625,112.28125,2114342,ZN,1d,False,True,HL,112.6125,112.9234375,43.66265073215819
2025-10-03,112.90625,112.9375,112.578125,112.625,1052150,ZN,1d,True,False,LH,112.64375,112.5796875,49.798987271174596
2025-10-07,112.40625,112.703125,112.234375,112.625,1338047,ZN,1d,False,True,HL,112.653125,112.528125,50.16298087872409
2025-10-17,113.71875,114.015625,113.359375,113.421875,2239762,ZN,1d,True,False,HH,113.35625,112.984375,58.90711043898522
2025-10-30,112.75,112.875,112.453125,112.65625,2011092,ZN,1d,False,True,HL,113.140625,113.35625,42.44384527614866
2025-11-05,112.765625,113.015625,112.25,112.28125,1950710,ZN,1d,True,True,LH,112.584375,112.940625,37.24240587728188
2025-11-14,112.671875,113.09375,112.453125,112.484375,2295922,ZN,1d,True,False,HH,112.75625,112.7015625,42.853127299482686
2025-11-20,112.59375,113.015625,112.3125,112.828125,2224515,ZN,1d,False,True,LL,112.65625,112.7390625,50.066167857453806
2025-11-25,113.390625,113.703125,113.25,113.59375,751070,ZN,1d,True,False,HH,113.11875,112.9078125,62.61714352504031
2025-12-10,112.046875,112.453125,111.90625,112.21875,1996893,ZN,1d,False,True,LL,112.359375,112.75,38.68080318157014
2025-12-18,112.484375,112.96875,112.46875,112.75,1552457,ZN,1d,True,False,HH,112.453125,112.3796875,51.21878158391533
2025-12-23,112.375,112.53125,112.046875,112.296875,1185344,ZN,1d,False,True,HL,112.478125,112.4078125,43.00453700369283
2025-12-30,112.734375,112.796875,112.53125,112.640625,956917,ZN,1d,True,False,LH,112.55,112.5359375,50.36899867313467
2026-01-02,112.296875,112.453125,112.140625,112.203125,1181321,ZN,1d,False,True,HL,112.515625,112.4984375,41.59901482560941
2026-01-07,112.375,112.6875,112.34375,112.578125,1916679,ZN,1d,True,False,LH,112.39375,112.471875,50.50080714846661
2026-01-09,112.34375,112.390625,111.96875,112.21875,2600532,ZN,1d,False,True,LL,112.359375,112.4375,43.62216089298677
